last part,Pickup Area,Pickup Point
uttara,Uttara,"""the asgar show, sector 4,uttara"""
gulshan 1,Gulshan,"""koyla restaurant link.r0ad, gulshan 1"""
uttara,Uttara,"""area71 venture limited headquarters,sector 10,uttara"""
uttara,Uttara,"""area71 venture limited headquarters, sector 10, uttara"""
gulshan,Gulshan,"""shezad palace,gulshan 2,gulshan"""
banani,Banani,"""express house, block h, banani"""
dhanmondi,Dhanmondi,"""dr nadia ferdous,residential area,dhanmondi"""
gulshan,Gulshan,"""le chateua,gulshan 2,gulshan"""
basundhara r/a,Bashundhara,"""basundhara masjid,r4 ,rd 3,block d,basundhara r/a"""
mohammadpur,Mohammadpur,"""popular place,shekhertek,mohammadpur"""
sector 2,Purbachal,"""airport road,new airport road,kurmitola,sector 2"""
uttara,Uttara,"""brothers furniture ltd,sector 4,uttara"""
mohammadpur,Mohammadpur,"""luxor,zafrabad,mohammadpur"""
uttara,Uttara,"""rd 19,sector 11,uttara"""
gulshan,Gulshan,"""vivek majesta,gulshan 2,gulshan"""
sector 2,Purbachal,"""airport road , new airport road , kurmitola , sector 2"""
dhanmondi,Dhanmondi,"""fresco, h 36,north rd,dhanmondi"""
niketon,Niketon,"""gateway overseas education solution , road o3, block b, niketon"""
uttara,Uttara,"""xinxian resturant,sector 1,uttara"""
nikunja 2,Nikunja,"""h  5, rd 20, nikunja 2"""
gulshan,Gulshan,"""banani bridge,gulshan 2,gulshan"""
dhanmondi,Dhanmondi,"""datacrift limited , residential area , dhanmondi"""
basundhara r/a,Bashundhara,"""playpen, h 271, rd 14, block c, basundhara r/a"""
section 12,Mirpur,"""52/3, road 2/1, section 12"""
dhanmondi,Dhanmondi,"""schoolar's school and college , h 63, 71, rd  7/a, dhanmondi"""
uttara,Uttara,"""ibn sina diagnostic & consultation centre, gareeb e nawaz avenue , sector 13, uttara"""
bashundhara r/a,Bashundhara R/A,"""herfy,block i,bashundhara r/a"""
basundhara r/a,Bashundhara,"""plot 330,rd 14,block a,basundhara r/a"""
basundhara r/a,Bashundhara,"""sorok 12,basundhara r/a"""
uttara,Uttara,"""nr tours & travels,sector 4,uttara"""
gulshan,Gulshan,"""metro properties limited,road 36,gulshan 2,gulshan"""
mirpur,Mirpur,"""gulev jannat arifabad mahila madrasa, i/10 , arifabad housing road , extended pallabi , mirpur"""
banani,Banani,"""heaven salon , 77, road 17a , banani"""
dhanmondi,Dhanmondi,"""unique diagnostic center , green road, dhanmondi"""
bashundhara r/a,Bashundhara R/A,"""realiance building, h 146, rd 8, block d, bashundhara r/a"""
dhanmondi,Dhanmondi,"""73/h/1, shahid buddijibi munir chowdhury road, dhanmondi"""
bashundhara r/a,Bashundhara R/A,"""h 662, rd 20, block f, bashundhara r/a"""
section 2,Mirpur,"""mukta pharmacy,commerce college road,section 2"""
basundhara r/a,Bashundhara,"""khushbu,111,road 4,block c,basundhara r/a"""
gopibag,Gopibagh,"""apurupa hair style,r k mission rd,gopibag"""
dhanmondi,Dhanmondi,"""h 8 , rd 30, dhanmondi"""
niketon,Niketon,"""h 93/1 , rd 8, niketon"""
uttara,Uttara,"""nasim enterprise,sector 12,uttara"""
malibagh,Malibagh,"""tahmina manzil,209/1,195 shantibag road,shantibagh,malibagh"""
malibagh,Malibagh,"""universal music & time books doctor goli,malibagh"""
pallabi,Pallabi,"""ntrenz,mirpur,dohs rd,pallabi"""
banani,Banani,"""kavazo,road 11,block h,banani"""
uttara,Uttara,"""nasim enterprise, sector 12, uttara"""
uttara,Uttara,"""nawab habibullah model school & college,shahjalal ave,sector 4,uttara"""
sector 2,Purbachal,"""mutual trust bank, airport  road, new airport road, kurmitola, sector 2"""
gopibag,Gopibagh,"""h 16 , gopibag 3rd ln , gopibag"""
mohammadpur,Mohammadpur,"""h 10/13, tajmahal rd , mohammadpur"""
basundhara r/a,Bashundhara,"""aurelia, 8/q, road no. 2 , block d, basundhara r/a"""
banani,Banani,"""zaheen knitwears  ltd , road 13c , block  e, banani"""
mohammadpur,Mohammadpur,"""molla general store , bochila rd, mohammadpur"""
malibagh,Malibagh,"""tahmina monjil, 209/1, 195 shantibag road, shantibagh, malibagh"""
dhanmondi,Dhanmondi,"""salam summershine,residential area,dhanmondi"""
dhanmondi,Dhanmondi,"""h 10 new/13 old,rd 5,dhanmondi"""
mohammadpur,Mohammadpur,"""asha moni store,lalmatia,mohammadpur"""
malibagh,Malibagh,"""universal music & time books , doctor goli, malibagh"""
nikunja 2,Nikunja,"""h 22, rd 3, nikunja 2"""
banani,Banani,"""kavazo , road 11, block h, banani"""
gulshan,Gulshan,"""lankan alliance finance limited,gulshan 1,gulshan"""
uttara,Uttara,"""nawab habibullah model school & college , shahjalal ave, sector 4 , uttara"""
uttara,Uttara,"""school of intelligence,road 10/a,sector 11,uttara"""
gulshan,Gulshan,"""germania holdings ltd,gulshan 2,gulshan"""
uttara,Uttara,"""mastermind abacus,road 07,sector 13,uttara"""
dhanmondi,Dhanmondi,"""labaid cardiac centre , green road, dhanmondi"""
dhanmondi,Dhanmondi,"""salam summershine , residential area, dhanmondi"""
banani,Banani,"""whiteshell it shop ,niharika concord tower, kamal ataturk avenue , block c, banani"""
dhanmondi,Dhanmondi,"""h 10 new/13 old, rd 5, dhanmondi"""
banani dohs,Banani,"""unitrend limited,banani dohs"""
mohammadpur,Mohammadpur,"""asha moni store, lalmatia , mohammadpur"""
banani,Banani,"""durum-turkish doner(banani),road 11,block d,banani"""
gulshan 1,Gulshan,"""magnum management consulting,road 12,niketon,gulshan 1"""
gulshan,Gulshan,"""shameem refrigeration works ltd,gulshan 1,gulshan"""
mohammadpur,Mohammadpur,"""mohammadia r/a main rd , prominent housing , mohammadpur"""
